title, year, genre, img_path, synopsis
"The Walking Dead",2010,"Drama, Horror, Thriller","https://images-na.ssl-images-amazon.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_UX67_CR0,0,67,98_AL_.jpg","Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins, and must lead a group of survivors to stay alive."
"Hawaii Five-0",2010,"Action, Crime, Drama","https://images-na.ssl-images-amazon.com/images/M/MV5BM2Q2OTQyN2MtYWY1ZC00NzY0LWEzZDgtYmQyZWNlODE0NTAyXkEyXkFqcGdeQXVyNjg4NzAyOTA@._V1_UX67_CR0,0,67,98_AL_.jpg","Steve McGarrett returns home to Oahu, in order to find his father's killer. The Governor offers him the chance to run his own task force (Five-0)."
"Sherlock",2010,"Crime, Drama, Mystery","https://images-na.ssl-images-amazon.com/images/M/MV5BMWY3NTljMjEtYzRiMi00NWM2LTkzNjItZTVmZjE0MTdjMjJhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTQ4NTc5OTU@._V1_UX67_CR0,0,67,98_AL_.jpg","A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London."
"Blue Bloods",2010,"Crime, Drama","https://images-na.ssl-images-amazon.com/images/M/MV5BMjY0NTE1ODU3OV5BMl5BanBnXkFtZTgwOTI4NDQwMDI@._V1_UX67_CR0,0,67,98_AL_.jpg","Revolves around a family of New York cops."
"Pretty Little Liars",2010,"Drama, Mystery, Romance","https://images-na.ssl-images-amazon.com/images/M/MV5BMTU5MDYzMzQ2Nl5BMl5BanBnXkFtZTgwMDE3MzU4MTI@._V1_UX67_CR0,0,67,98_AL_.jpg","Four friends band together against an anonymous foe who threatens to reveal their darkest secrets, while also investigating the disappearance of their best friend."
"Downton Abbey",2010,"Drama, Romance","https://images-na.ssl-images-amazon.com/images/M/MV5BY2U1NmIwYzgtNjFkOS00YWUxLTg0YTMtZmE5NTA3YjRmY2NlXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UY98_CR1,0,67,98_AL_.jpg","A chronicle of the lives of the British aristocratic Crawley family and their servants in the early 20th Century."
"Strike Back",2010,"Action, Drama, Thriller","https://images-na.ssl-images-amazon.com/images/M/MV5BMTEwNzExNTQ4NDFeQTJeQWpwZ15BbWU4MDczNzY5NTQz._V1_UY98_CR0,0,67,98_AL_.jpg","Follows the actions of Section 20, a secretive unit of British military intelligence. A team of special operations personnel conduct several high risk missions across the globe."
"Inception",2010,"Action, Adventure, Sci-Fi","https://images-na.ssl-images-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg","A thief, who steals corporate secrets through the use of dream-sharing technology, is given the inverse task of planting an idea into the mind of a CEO."
"Spartacus: War of the Damned",2010,"Action, Adventure, Biography","https://images-na.ssl-images-amazon.com/images/M/MV5BOTA2NDU2MzM5Nl5BMl5BanBnXkFtZTcwMTk3Njg3OA@@._V1_UX67_CR0,0,67,98_AL_.jpg","Watch the story of history's greatest gladiator unfold with graphic violence and the passions of the women that love them. This is Spartacus."
"Luther",2010,"Crime, Drama, Mystery","https://images-na.ssl-images-amazon.com/images/M/MV5BYTdhNWMwYTMtNzQ3OC00ODZjLWI0YzQtYjVlODZiOWVlYTJlXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UY98_CR1,0,67,98_AL_.jpg","A crime drama series starring Idris Elba as a near-genius murder detective whose brilliant mind can't always save him from the dangerous violence of his passions."
"Justified",2010,"Action, Crime, Drama","https://images-na.ssl-images-amazon.com/images/M/MV5BMjM0MDYzODA1MV5BMl5BanBnXkFtZTgwNDE5MTkxNDE@._V1_UX67_CR0,0,67,98_AL_.jpg","Old-school U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal-mining towns in Eastern Kentucky."
"Blue Valentine",2010,"Drama, Romance","https://images-na.ssl-images-amazon.com/images/M/MV5BMTU4MTQ2MzA1Ml5BMl5BanBnXkFtZTcwODE3NTgwNA@@._V1_UX67_CR0,0,67,98_AL_.jpg","The relationship of a contemporary married couple, charting their evolution over a span of years by cross-cutting between time periods."
